id1,id2,entity1,entity2,ent1type,ent2type,shortest_dependency_path_p,shortest_dependency_path_w,shortest_dependency_path_t,original_sentence,id_entities_pair,relation
53464,53466,Croix-Rouge,30 septembre,association,date,dobj/nmod/punct,"ligne/Invalides/,",NOUN/PROPN/PUNCT,"La CMP construit une ligne entre ""Invalides"" et ""Croix-Rouge"" via ""Duroc"", exploitée à partir du 30 septembre 1923 sous le nom de ligne 10.",66878,
900,901,Saint-Simon,1817,commune,date,ROOT/advcl/acl:relcl,propager/populariser/secrétaire,VERB/VERB/NOUN,"Ce terme fut propagé par Saint-Simon, puis popularisé par Auguste Comte, qui collabora étroitement avec Saint-Simon, dont il fut le secrétaire de 1817 à 1824.",1066,
4858,4859,Paris,1676,commune,date,ROOT,publier,VERB,", publié à Paris en 1676, un an après la description d'Athènes par le même auteur, de Guillet qui prétendait utiliser les souvenirs de son frère qui aurait voyagé dans l'Empire ottoman, était un faux  conçu à partir de divers ouvrages d'érudits n'ayant jamais quitté leur cabinet.",5460,
6251,6254,Thônes,2007,commune,date,appos/conj,Beaufort-sur-Doron/Yenne,PROPN/PROPN,"C'est une fête tournante car chaque année, le lieu de la manifestation change: Beaufort-sur-Doron en 2005, Thônes en 2006, Yenne en 2007, Semnoz près d'Annecy en 2008, Abondance en 2009, Minzier en 2010, La Chambre en 2011, Bellevaux en 2012 et Reblochon en 2013, Aillon-le-Jeune en 2015.",7245,
6741,6742,Marseille,1855,commune,date,acl:relcl/nmod,s/installer,NOUN/VERB,La nomination officielle d'Espérandieu comme inspecteur des travaux de la Cathédrale ne sera faite que le: c'est le début de sa brillante carrière d'architecte à Marseille où il s'installe définitivement en 1855.,7790,
7145,7144,festival d'Avignon,1989,commune,date,ROOT,revenir,VERB,"En 1989, elle revient au festival d'Avignon dans le rôle-titre de ""La Célestine"", de Fernando de Rojas.",8392,
7201,7202,Avignon,2011,commune,date,case,en,ADP,"En 2010, elle enregistre avec Étienne Daho l'intégrale du ""Condamné à mort"", long poème de Jean Genet, à l'occasion du centenaire de l'anniversaire de naissance de l'écrivain et revient à Avignon en juillet 2011 pour lire encore une fois ce texte, toujours chanté par Etienne Daho sur une musique d'Hélène Martin.",8464,
7216,7214,Paris,2017,commune,date,appos/nmod/ROOT/nmod/nummod,rue du Faubourg-Saint-Honoré/appartement/retrouver/matin/31 juillet,NOUN/NOUN/VERB/NOUN/NUM,"Jeanne Moreau est retrouvée morte par sa femme de ménage au matin du 31 juillet 2017, dans son appartement parisien du square du Roule, rue du Faubourg-Saint-Honoré à Paris.",8493,
7286,7284,Angers,2008,commune,date,nmod/aux,Festival Premiers Plans/être,NOUN/AUX,"En 2008, à l'occasion de ses quatre-vingts ans et de ses soixante ans passés sur le grand écran, de nombreux hommages lui sont rendus, notamment au Festival Premiers Plans d'Angers et à la Cinémathèque française.",8610,
7750,7751,régime de Vichy,1941,commune,date,acl,mettre,VERB,"Le, il écrit, dans ""Le Petit Comtois"": Auguste Lumière siège au conseil municipal de Lyon mis en place par le régime de Vichy en 1941.",9345,
7780,7777,Monnaie de Paris,2012,commune,date,acl/nmod/advcl/advcl/ROOT,éditer/pièce/représenter/choisir/rien,VERB/NOUN/VERB/VERB/PRON,"Rien de tel n'advient 17 ans plus tard, en 2012, lorsque les frères Lumière sont choisis pour représenter Rhône-Alpes sur la pièce de en argent éditée par la Monnaie de Paris, au sein de la collection « Les Euros des Régions ».",9400,
8190,8192,Mauguio,1850,commune,date,punct/punct/conj:et/auxpass/nummod,",/""/ériger/être/29 janvier",PUNCT/PUNCT/VERB/AUX/NUM,"D'après le dictionnaire topographique du département de l'Hérault, le secteur de Palavas ou Pallas, souvent dénommé « Les Cabanes de Ballestras » dépendait en grande partie de la commune de Mauguio, et ce lieu fut érigée en commune indépendante le 29 janvier 1850.",10221,
8287,8285,Mauguio,1850,commune,date,nmod/nmod/nmod/nmod/conj/ROOT/acl:relcl,Lattes/commune/territoire/partie/démembrement/ce/effectif,PROPN/NOUN/NOUN/NOUN/NOUN/PRON/ADJ,"Ce qui sera effectif, en 1850, donc par démembrement d'une partie des territoires des communes de Lattes, Mauguio et Villeneuve-lès-Maguelone.",10340,
8779,8778,Paris,1935,commune,date,cc/nmod/conj:puis/ROOT/conj,et/frère/emménager/passer/jusqu,CONJ/NOUN/VERB/VERB/VERB,"Claude Rich passe les premières années de sa vie à Strasbourg, jusqu'en 1935, puis il emménage avec sa mère et ses trois frères et sœurs à Paris, au 95, boulevard Saint-Michel après la mort de son père, ingénieur de métier, victime à 40 ans de la grippe.",10901,
9022,9021,Paris,1945,commune,date,acl/appos/appos,installer/s/il,VERB/X/PRON,"En 1945, il s'installe à Paris, tout d'abord à Montmartre puis, quelques années plus tard, dans un hôtel de Saint-Germain-des-Prés à l'intersection de la rue de Seine et de la rue de Buci, le mythique hôtel ""La Louisiane""  où l'ont précédé Jean-Paul Sartre et Simone de Beauvoir, tout le microcosme artistique et intellectuel de l'époque ainsi que de nombreux jazzmen qui y louaient des chambres au mois, voire à l'année.",11248,
9024,9021,Saint-Germain-des-Prés,1945,commune,date,nmod/conj/nmod/conj/acl/appos/appos,hôtel/année/abord/tout/installer/s/il,NOUN/NOUN/NOUN/PRON/VERB/X/PRON,"En 1945, il s'installe à Paris, tout d'abord à Montmartre puis, quelques années plus tard, dans un hôtel de Saint-Germain-des-Prés à l'intersection de la rue de Seine et de la rue de Buci, le mythique hôtel ""La Louisiane""  où l'ont précédé Jean-Paul Sartre et Simone de Beauvoir, tout le microcosme artistique et intellectuel de l'époque ainsi que de nombreux jazzmen qui y louaient des chambres au mois, voire à l'année.",11261,
9231,9229,Épernay,1995,commune,date,appos/nmod/nmod/parataxis/ROOT,vitesse/ligne/arrêt/préconiser/rédiger,NOUN/NOUN/NOUN/VERB/VERB,"En 1995, le rapport Blanc-Brossier, rédigé à la demande du ministère des Transports, préconise la refonte totale du projet, avec l'arrêt de la ligne grande vitesse à Épernay et l'adaptation de la ligne de Paris à Strasbourg classique pour le TGV pendulaire au-delà.",11548,
9260,9258,Strasbourg,2007,commune,date,nummod,24 janvier,NUM,"Le 24 janvier 2007, le protocole de financement des études et travaux préparatoires à la deuxième phase de la ligne entre Baudrecourt et Strasbourg  est signé.",11594,
9426,9427,Strasbourg,2016,commune,date,amod/appos,Luxembourg/Metz / Nancy,PROPN/PROPN,"Une des particularités de cette ligne est d'être organisée en « arêtes de poisson », ce qui est très adapté pour une liaison depuis ou vers Paris, mais beaucoup moins aisé pour les dessertes intercités, mises à part les relations Luxembourg – Metz / Nancy – Strasbourg prévues à partir de 2016 .",11833,
9720,9719,Paris,2016,commune,date,nmod/nmod/ROOT/nmod,parcours/temps/Strasbourg/mise,NOUN/NOUN/PROPN/NOUN,"Depuis la mise en service de la deuxième phase de la LGV Est, en 2016, les meilleurs temps de parcours Paris – Francfort sont de, via Strasbourg.",12219,
9975,9976,Centre Pompidou - Metz,2006,commune,date,nsubj/ROOT/nmod,édification/débuter/novembre,NOUN/VERB/NOUN,L'édification du Centre Pompidou - Metz a débuté en novembre 2006.,12583,
