id1,id2,entity1,entity2,word_path1,word_path2,dep_path1,dep_path2,pos_path1,pos_path2,original_sentence,ent1type,ent2type,relation,id_entities_pair
1,3,"Cousin, Cousine",Jean-Charles Tacchella,Cousine/Cousin/film,Tacchella/Jean-Charles/réalisé/film,appos/nsubj/ROOT,name/nmod/acl/ROOT,NOUN/PROPN/NOUN,PROPN/PROPN/VERB/NOUN,"""Cousin, Cousine"" est un film français réalisé par Jean-Charles Tacchella, sorti en 1975.",lieu,personne,,5
12,14,Doubs,Bourgogne-Franche-Comté,,,,,,,"Allenjoie est une commune française située dans le département du Doubs, en région Bourgogne-Franche-Comté.",departement,region,http://www.wikidata.org/prop/direct/P150,13
9,12,Allenjoie,Doubs,Allenjoie/commune,Doubs/département/située/commune,nsubj/ROOT,nmod/nmod/acl/ROOT,PROPN/NOUN,PROPN/NOUN/VERB/NOUN,"Allenjoie est une commune française située dans le département du Doubs, en région Bourgogne-Franche-Comté.",commune,departement,http://www.wikidata.org/prop/direct/P150,19
39,41,Allenjoie,France,Allenjoie/appartenait,France/rattaché/comté/appartenait,nsubj/ROOT,nmod/acl:relcl/nmod/ROOT,PROPN/VERB,PROPN/VERB/NOUN/VERB,Allenjoie appartenait au comté de Montbéliard qui fut rattaché à la France en 1793.,commune,lieu,,43
124,125,2005,Canada,,,,,,,"Nommé Ilanaaq, un mot signifiant « ami » en inuktitut, le nouveau logo a été présenté par le comité organisateur des jeux lors de son dévoilement, le 23 avril 2005, comme un symbole, ainsi que des du Canada.",date,pays,,138
123,125,23 avril,Canada,avril/comité/présenté,Canada/symbole/présenté,nmod/nmod/conj,conj/nmod/conj,NOUN/NOUN/VERB,PROPN/NOUN/VERB,"Nommé Ilanaaq, un mot signifiant « ami » en inuktitut, le nouveau logo a été présenté par le comité organisateur des jeux lors de son dévoilement, le 23 avril 2005, comme un symbole, ainsi que des du Canada.",date,pays,,141
198,199,1934,Serge Alexandre Stavisky,,,,,,,Le film retrace l'apogée dans les années 1930 et la mort en 1934 de Serge Alexandre Stavisky.,date,personne,,228
211,209,Bayonne,Pierre Bonny,Bayonne/crédit/fuites/favorisant/tente,Bonny/Pierre/inspecteur/tente,nmod/conj/acl/advcl/ROOT,name/appos/nsubj/ROOT,PROPN/NOUN/VERB/VERB/VERB,PROPN/PROPN/NOUN/VERB,"Pendant ce temps, l'inspecteur principal Pierre Bonny tente de mettre son nez dans le dossier Stavisky, en favorisant des fuites auprès de journaux, ou en tendant des embûches aux complices de l'escroc, notamment au crédit municipal de Bayonne.",commune,personne,,246
240,241,France,Jean-Paul Belmondo,France/attira/échec,Belmondo/Jean-Paul/succès/obtenus/ceux/inférieurs/échec,nmod/acl/ROOT,name/nmod/nmod/acl/nmod/conj/ROOT,PROPN/VERB/NOUN,PROPN/PROPN/NOUN/VERB/PRON/ADJ/NOUN,"Le film n'est pas un échec public, puisqu'il attira plus de 300 000 spectateurs dans les salles à Paris et plus d'un million de spectateurs en France, mais ses chiffres de fréquentation sont très inférieurs à ceux obtenus par les succès précédents de Jean-Paul Belmondo.",lieu,personne,,265
248,250,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,,,,,,"Le est un fleuve côtier du Sud-Est de la France se jetant dans la mer Méditerranée après avoir coulé dans les deux départements des Alpes-de-Haute-Provence et Alpes-Maritimes, dans la région Provence-Alpes-Côte d'Azur.",departement,region,http://www.wikidata.org/prop/direct/P150,275
